Serial Number,Credit Card Name,Credit Card Image,Flight Benefit
1,MakeMyTrip ICICI Bank Signature Credit Card,"https://static.wixstatic.com/media/f836e8_5f095d9b5541483d965397444e0c81e8~mv2.webp/v1/fill/w_254,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/MakeMyTrip%20ICICI%20Bank%20Signature%20Credit%20Card.webp",1 MyCash on every INR 100 spend on flight boking; Flight booking cashback rate: 1%
2,Axis Bank Miles And More World Credit Card,"https://static.wixstatic.com/media/f836e8_5ae3062000cd4c4f9dba812c2e18f3d9~mv2.webp/v1/fill/w_254,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/Axis%20Bank%20Miles%20and%20More%20World%20Credit%20Card%20(1).webp","Users will get 2 miles on spending INR 100 on all spends excluding EMI, wallet recharge, cash withdrawal, etc. These miles can't be converted into cash directly but can be used to book flights with partner airline companies. Value of 1 mile will depend on the flight being booked by you. 
"
3,Axis Horizon Visa Credit Card,,"Reward system:  Cardholder shall earn 5 EDGE Miles on every INR 100 spent on Axis Bank Travel Edge website and on airline spends and 2 EDGE Miles for every INR 100 spent on other spends; The value of 1 EDGE Mile is not fixed, but can be redeemed for booking hotel, flight, etc"
4,SBI Card Miles Elite,https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/MILES-Elite_139x218-px-Front.png,"Welcome benefit:  Users will receive 5,000 travel credits on spending â¹ 1,00,000 within 60 days of card issuance; Reward system:  Users will get 3 travel credits per INR 100 on every travel spend; 1 travel credit per INR 100 on other spends; 1 travel credit = â¹1 for air mile/hotel point; (General cashback rate: 1%, cashback on travel credits of travel spends: 3%); 1 travel credit = â¹0; 25%, Cashback on travel credits of travel spends:; 1 travel credit = â¹0; 50 for travel bookings; 50%, Cashback on travel credits of travel spends: 1; Milestone benefit:  User will receive 20,000 bonus travel credits on reaching annual spends of â¹12 Lakh"
5,HDFC Bank Infinia Credit Card Metal Edition,,Reward points can be redeemed for: Flight and Hotel Bookings via Smartbuy at a value of 1 RP = Rs1
6,Easy EMI Card,nan,"Cashpoints can also be used for redemption against travel benefits like Flight &amp; Customers can get 5% cashback on Amazon, Flipkart, Flight, and hotel bookings on shopping via PayZapp and SmartBuy (minimum transaction size of â¹2000,&nbsp"
8,Axis Bank Vistara Infinite Credit Card,nan,"Welcome Benefit: As a welcome gift, users will receive a complimentary Business Class flight ticket and Club Vistara Gold membership.Users will earn 6 points for every INR 200 spent. Points can be redeemed for air tickets. The estimated value as per MyRupaya is INR 1.25 for each point. The effective cashback rate is 3.75%.
"
9,IndusInd InterMiles Odyssey Amex Credit Card,nan,"Users can get 6 InterMiles on weekends when spending INR 100 through the credit card. Cashback rate: Up to 3.00%. 4 on weekdays. Cashback rate: Up to 2%. The value of 1 InterMile is not exact; it depends on the flight you are trying to book. It varies from INR 0.17 to INR 0.50. You can also get 12 InterMiles on weekends when booking flights and hotels through InterMiles.com. Cashback rate: Up to 6.00% and 8 when booking flights on weekdays. Cashback rate: Up to 4.00%.
"
10,HDFC Pixel Play Credit Card,nan,"Cardholder will get 5% cashback on any two packs of your choice - Dining & Entertainment Category  BookMyShow & Zomato - Travel Category  MakeMyTrip & Uber - Grocery Category  Blinkit & Reliance Smart Bazaar - Electronics Category  Croma & Reliance Digital - Fashion Category  Nykaa & Myntra.
"
11,Yes Prosperity Edge Credit Card,nan,"Reward System: 8 Reward Points on every INR 200 on Travel &amp; Travel &amp; 5%, Redemption of Reward Points against Air Miles (10 Reward Points = 1 InterMile / 1 Club Vistara Point)"
12,Paytm HDFC Bank Select Business Credit Card,,"Users will get 5% cashback on purchases on Paytm (recharge, utility, travel, movies + Mini app) with a maximum limit of INR 1500 per month. 
"
13,Skywards ICICI Bank Emerald Credit Card,nan,"Users will get 10,000 Skywards Miles and Emirates Skywards Silver Tier membership as joining and annual benefits; These Skyward Miles can be used for the purposes booking Emirates tickets. Users will also earn up to 2.5 Skywards Miles per INR 100 on all categories. 
"
15,Yes Bank Wellness Credit Card,"https://static.wixstatic.com/media/f836e8_a338bdee49ad41b6b8cf103db9337495~mv2.webp/v1/fill/w_254,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/YES%20bank%20wellness%20%20card.webp","Users will get 10 reward points per INR 100 spent on Chemist/ Pharmaceutical stores, Medical cashback rate of 2.5%. 2 reward points per INR 100 spent on all other categories. Cashback rate: 0.5%. 10 reward points = 1 InterMile/1 Club Vistara point.
"
18,InterMiles HDFC Bank Signature Credit Card,"https://static.wixstatic.com/media/2a565f_daf5aeb756e44821bc14e168f2071899~mv2.webp/v1/fill/w_345,h_230,al_c,lg_1,q_80,enc_avif,quality_auto/download.webp","Customers get 2 InterMiles per Rs. 100 spent. 8 InterMiles on every Rs. 150 spent on retail spends. 
16 InterMiles on every Rs. 150 spent on every Hotel booked Interbook.intermiles.com.  2 InterMiles on every Rs. 150 spent on fuel. Effective cashback rate: 0.016%.  1 InterMiles on every Rs. 150 spent on dining, movies, and airport lounges.  
"
22,Axis Bank Miles And More World Select Credit Card,"https://static.wixstatic.com/media/f836e8_ec766ef6e1f64ba89a647ec222b7d53f~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Axis%20Bank%20Miles%20and%20More%20Select%20Credit%20Card.webp","Users will get 3 miles on spending INR 100 on all spends excluding EMI, wallet recharge, cash withdrawal, etc. These miles can't be converted into cash directly but can be used to book flights with partner airline companies. Value of 1 mile will depend on the flight being booked by you."
23,Shaurya Select SBI Card,"https://static.wixstatic.com/media/f836e8_43bd54bd72f24f6a87fd5d3dd9b9192d~mv2.webp/v1/fill/w_254,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/SBI%20Card%20Shaurya%20Select.webp","A voucher worth INR 7,000 from Yatra or Pantaloons on achieving annual spends of INR 5 Lakhs"
26,MakeMyTrip ICICI Bank Platinum Credit Card,"https://static.wixstatic.com/media/f836e8_63823e15e89f412890fff2fffa26fcc3~mv2.webp/v1/fill/w_254,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/MakeMyTrip%20ICICI%20Bank%20Platinum%20Credit%20Card.webp","User will get 1 MyCash on every INR 100 spent on flight booking. Value of 1 MyCash= INR 1. Flight booking cashback rate: 1%.
"
27,Business Gold Credit Card,"https://static.wixstatic.com/media/2a565f_2d7d67f688e9412588a263222f00a07e~mv2.webp/v1/fill/w_204,h_136,al_c,lg_1,q_80,enc_avif,quality_auto/business_gold_thumb.webp",1% cash back on air tickets booked through domestic airline websites (up to Rs 500 per statement)
28,MakeMyTrip ICICI Bank Credit Card,"https://static.wixstatic.com/media/f836e8_2025080f31c346fd938639bc062b1693~mv2.png/v1/fill/w_249,h_166,al_c,lg_1,q_85,enc_avif,quality_auto/MakeMyTrip%20ICICI%20Bank%20Credit%20Card.png","Users will get 3% cashback on flight, bus and cab bookings, over and above the discounts on MakeMyTrip."
32,KVB Corporate Credit Card,"https://static.wixstatic.com/media/2a565f_37d389a88a6f4dcdbacb83e86049525e~mv2.webp/v1/fill/w_281,h_188,al_c,lg_1,q_80,enc_avif,quality_auto/Corporate.webp","Ussers will get upto 10,000/- off on flight bookings at Yatra depending on the offer running."
34,IndusInd Platinum Aura Edge Credit Card,"https://static.wixstatic.com/media/f836e8_a50ba7e80cec472da60634b49559f8be~mv2.webp/v1/fill/w_254,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/IndusInd%20Bank%20Aura%20Edge%20(1).webp",User will get 1.25% cashback on airline tickets if they have activated the travel plan on their card.
38,IndusInd Bank Avios Visa Infinite Credit Card,,"Welcome Benefit:   Cardholder can choose either choose complimentary membership to Qatar Airways Privilege Club or British Airways Executive Club; In case of British Airways, the cardholder will get 55,000 points; British Airways website and app; The value of 1 Avios varies and is not fixed, it depends on the flight you are using to book using the Avios; In the case of British Airways, the renewal benefit would be 10,000 reward points (no minimum spend requirement); 10% off for flight bookings made on www; British Airways website and App; Value of 1 Avios varies and is not fixed, it depends on the flight you are using to book using the Avios"
39,SpiceJet Axis Bank Voyage Credit Card,,"Users will get 28 SpiceClub points (16 SpiceClub points as a Spice Club member and 12 Spice Club points on a card spent on every INR 200 spent on the Spice Jet app.  12 SpiceClub points for every INR 200 spent on online food order. 6 SpiceClub points for every INR 200 spent on all other domestic retail & international transactions(excl fuel, wallet, EMI transaction). 
"
42,Paytm SBI Card SELECT,"https://static.wixstatic.com/media/f836e8_9be128b2fef44c3ca1a8aaa3d9bd7e7e~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Paytm%20SBI%20Card%20Select.webp","Reward System: Users will get 5% cashback on Paytm Mall, movies and travel (including flight tickets). "
43,SimplyClick Advantage SBI Card,"https://static.wixstatic.com/media/f836e8_d2593645c32a4dd3ab935b4856fca7e0~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Simplyclick%20Advantage%20SBI%20Card%20(1).webp","10 point on spend of every INR 100 on Apollo 24x7/BookMyShow/ Cleartrip/ Dominos/ Myntra/ Netmeds/ Swiggy/ Yatra. Effective cashback rate: 2.5%
"
44,Federal Bank Scapia Credit Card,"https://static.wixstatic.com/media/f836e8_c04c138ef7884c84b57d566a5c1da539~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Federal%20Bank%20Scapia%20Credit%20Card.webp",Reward System- 10 scapia coins on all normal purchases and 20 scapia coins on all travel purchases through the scapia app . The value of 5 coins is INR 1. The effective cashback rate on normal transactions is 2% and the effective cashback rate on travel transactions is 4%.
46,Reliance SBI Card Prime,"https://static.wixstatic.com/media/f836e8_80e4072935ba4d928538265c6ecb70cb~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Reliance%20SBI%20Card%20Prime.webp","5 points on spend of every INR 100 on dining, movies & entertainment, domestic airlines and international spending. Effective cashback rate: 1.25%. 
"
47,6E Rewards XL - IndiGo HDFC Bank Credit Card,"https://static.wixstatic.com/media/2a565f_41a8e745e6e24f68aadf0155382a9f24~mv2.webp/v1/fill/w_66,h_42,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Indigo-6ERewardsXL.webp",Welcome Benefit: 1 complimentary flight ticket worth Rs; 5% 6E rewards points on IndiGo flight booking. 
48,Flipkart Axis Bank SuperElite Credit Card,"https://static.wixstatic.com/media/f836e8_6551443f59524418b60e6b11c974a498~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Flipkart%20Super%20Elite%20Credit%20Card.webp","500 off on Myntra select styles, 15% off on Domestic flight booking via Flipkart Flights (Maximum discount of up to INR 1,500)"
49,KVB Honour Credit Card,"https://static.wixstatic.com/media/2a565f_fc64c7797e97490690c0583583e29cfc~mv2.webp/v1/fill/w_125,h_79,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/KVB-Honour-Credit-Card.webp","4x rewards on domestic and international travels, hotels and air tickets"
50,Air India SBI Platinum Card,"https://static.wixstatic.com/media/f836e8_d64dbf4b1f284b16b1404a1cf30a8212~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Air%20India%20SBI%20Platinum%20Card.webp","Users can earn upto 15 reward points for every INR 100 spent on Air India tickets booked through airindia.com, airindia mobile app. (15 reward points when booked for self and 5 reward points when booked for others). Value of 1 reward point = INR 0.25. Air India travel cashback rate: 3.75%. 2 reward points for every Rs 100 spent on all other spends. General cashback rate: Rs 0.5%.


"
52,InterMiles HDFC Bank Diners Club Credit Card,"https://static.wixstatic.com/media/2a565f_fb8a462539424fb7be762c6a6dd78c33~mv2.webp/v1/fill/w_345,h_230,al_c,lg_1,q_80,enc_avif,quality_auto/2A-Product-Page-264x167-InterMiles-Diners.webp","The value of 1 InterMiles = 1 Rs. Users will earn 8 InterMiles on every Rs. 150 spent on retail spending. Cashback rate: 5.33%. 16 InterMiles on every Rs 150 spent on every flight ticket booked on https://flights.intermiles.com. Cashback rate: 10.66%. 
"
56,HSBC TravelOne Mastercard Credit Card,,"Reward system:  Cardholders can earn 4 reward points for every INR100 spent on flights, travel aggregators and in foreign currency, capped at 50,000 reward points a month and earn 2 reward points for every INR100 spent on anything else, with no cap; These reward points can be converted into air miles at a ratio of 1:1; Cardholders will save 15% on domestic and international holiday Bookings at Yatra, EaseMyTrip, PayTM Travel and ClearTrip"
57,IndusInd Bank Club Vistara Explorer Credit Card,,"1 CV = Rs. 0.75. On spending Rs. 200, customers will earn 8 CV points on the Club Vistara website. Cashback rate: 3%. 6 CV points on hotels, airlines, and other travel-related categories. Cashback rate: 2.25%, 
"
60,SimplyClick SBI Card,,"Users will get 10 points on spending every INR 100 on Apollo 24x7/BookMyShow/ Cleartrip/ Dominos/ Myntra/ Netmeds/ Swiggy/ Yatra. Value of 1 point = INR 0.25. Effective cashback rate: 2.5%. 
"
61,IndusInd InterMiles Odyssey Visa Credit Card,, Users will also get 6 InterMiles on booking flights through InterMiles app / website. Value of 1 InterMiles is not exact it depends on the flight you are trying to book
62,AU Small Finance Bank ixigo Credit Card,," 10% discount on flight, bus, and hotel bookings through Ixigo"
65,6E Rewards - IndiGo HDFC Bank Credit Card,,5% 6E rewards points on booking through IndiGo app/ website.
66,Emirates Skywards Rubyx Credit Card,,Users can earn up to 1.5 Skywards Miles per INR 100 for all categories.These Skyward Miles can be used for the purposes of booking Emirates tickets.
70,IRCTC RBL Bank RuPay Credit Card,,"Users will get 2 reward points per INR 200 spent on booking flights, hotels and cruises from the IRCTC website or app with a cashback rate of 0.25%"
