Offer Title,Description,Link,Image,Eligible Credit Cards,Eligible Debit Cards
Punjab National Bank,"Enjoy Up to INR 6,000 OFF* on Flight, Hotel & Bus Bookings with Punjab National Bank Credit Card",https://www.easemytrip.com/offers/pnb-credit-card.html,https://images.emtcontent.com/offer-img/PNB-EMTPNBCC-25-aug-25-sm.webp,"PNB Rupay Select Card
PNB Rupay Millennial Card
PNB RuPay Platinum Credit Card
PNB Rakshak Rupay Platinum Card
The PNB Global Platinum Credit Card
PNB VISA Gold Card
PNB Patanjali Rupay Platinum Card
PNB EMT Rupay Platinum Credit Card
PNB Patanjali Rupay Select Card",
Axis Bank Credit Cards,Enjoy Up to 15% OFF* on Travel Bookings by Using Axis Bank Credit Cards,https://www.easemytrip.com/offers/axis-bank-credit-card.html,https://images.emtcontent.com/offer-img/EMTAXIS-sm.webp,"Axis Bank Ace Credit Card
Airtel Axis Bank RuPay Credit Card 
Airtel Axis Bank Credit Card
Flipkart Axis Bank Credit Card 
Axis Bank Neo Credit Card 
Axis Bank Atlas Credit Card
Flipkart Axis Bank Superelite Credit Card
Axis Bank Rewards Credit Card
IndianOil Axis Bank Credit Card
Fibe Axis Bank Credit Card 
Axis Bank SpiceJet Voyage Black Credit Card
Spicejet Axis Bank Voyage Credit Card
Samsung Axis Bank Infinite Credit Card
Axis Bank Reserve Credit Card
Axis Bank Vistara Infinite Credit Card
Axis Bank Miles And More World Select Credit Card
Axis Bank Miles And More World Credit Card
Samsung Axis Bank Signature Credit Card
Axis Bank Vistara Credit Card
Axis Bank Magnus Credit Card
Axis Bank MY Zone Credit Card
Axis Bank Signature Credit Card
Axis Bank Privilege Credit Card
Axis Bank Privilege Easy Credit Card
Axis Bank Freecharge Plus Credit Card
Axis Bank Select Credit Card
Axis Insta Easy Credit Card
Axis Bank Vistara Signature Credit Card
Axis Bank Pride Signature Credit Card
LIC Axis Bank Signature Credit Card
Axis Bank Platinum Credit Card 
Axis Bank My Wings Credit Card
Axis Bank Aura Credit Card
Axis Bank Titanium Smart Traveller Credit Card
Axis Bank Freecharge Credit Card
Axis Bank Pride Platinum Credit Card
Axis Bank Neo Credit Card
Axis KWIK Credit Card 
LIC Axis Bank Platinum Credit Card
Axis Horizon Mastercard Credit Card
Axis Bank Shoppers Stop Credit Card
Axis Bank Horizon Credit Card", 
Axis Bank Credit Cards EMI,Get Up to 15% OFF* on Travel Bookings with Axis Bank Credit Cards EMI,https://www.easemytrip.com/offers/axis-bank-credit-card-emi.html,https://images.emtcontent.com/offer-img/AXISEMI-sm.webp,"Axis Bank Ace Credit Card
Airtel Axis Bank RuPay Credit Card 
Airtel Axis Bank Credit Card
Flipkart Axis Bank Credit Card 
Axis Bank Neo Credit Card 
Axis Bank Atlas Credit Card
Flipkart Axis Bank Superelite Credit Card
Axis Bank Rewards Credit Card
IndianOil Axis Bank Credit Card
Fibe Axis Bank Credit Card 
Axis Bank SpiceJet Voyage Black Credit Card
Spicejet Axis Bank Voyage Credit Card
Samsung Axis Bank Infinite Credit Card
Axis Bank Reserve Credit Card
Axis Bank Vistara Infinite Credit Card
Axis Bank Miles And More World Select Credit Card
Axis Bank Miles And More World Credit Card
Samsung Axis Bank Signature Credit Card
Axis Bank Vistara Credit Card
Axis Bank Magnus Credit Card
Axis Bank MY Zone Credit Card
Axis Bank Signature Credit Card
Axis Bank Privilege Credit Card
Axis Bank Privilege Easy Credit Card
Axis Bank Freecharge Plus Credit Card
Axis Bank Select Credit Card
Axis Insta Easy Credit Card
Axis Bank Vistara Signature Credit Card
Axis Bank Pride Signature Credit Card
LIC Axis Bank Signature Credit Card
Axis Bank Platinum Credit Card 
Axis Bank My Wings Credit Card
Axis Bank Aura Credit Card
Axis Bank Titanium Smart Traveller Credit Card
Axis Bank Freecharge Credit Card
Axis Bank Pride Platinum Credit Card
Axis Bank Neo Credit Card
Axis KWIK Credit Card 
LIC Axis Bank Platinum Credit Card
Axis Horizon Mastercard Credit Card
Axis Bank Shoppers Stop Credit Card
Axis Bank Horizon Credit Card", 
ICICI Bank Credit Card EMI,"Enjoy Up to INR 7,500 OFF* on Travel Bookings with ICICI Bank Credit Cards EMI",https://www.easemytrip.com/offers/icici-bank-credit-card-emi.html,https://images.emtcontent.com/offer-img/ICICIEMI-02-SEP-sm.webp,"MakeMyTrip ICICI Bank Credit Card
ICICI Bank HPCL Super Saver Credit Card
ICICI Bank HPCL Super Saver RuPay Credit Card
ICICI Bank Sapphiro Credit Card
ICICI Parakram Select Credit Card
Emirates Skywards ICICI Bank Emerald Credit Card
Accelero ICICI Bank Credit Card
ICICI HPCL Coral Credit Card
MakeMyTrip ICICI Bank Platinum Credit Card
Makemytrip ICICI Bank Signature Credit Card
ICICI Bank Manchester United Platinum Credit Card
ICICI Parakram Credit Card
ICICI Bank Expressions Credit Card
Emirates Skywards Rubyx Credit Card
Adani One ICICI Platinum Credit Card 
Adani One ICICI Signature Credit Card 
ICICI Bank Emeralde Credit Card
ICICI Bank Instant Platinum Credit Card
ICICI Bank Manchester United Signature Credit Card
ICICI Bank Credit Card
ICICI Bank Coral RuPay Credit Card 
Chennai Super Kings ICICI Bank Credit Card
ICICI Bank Coral Credit Card
ICICI Bank Rubyx RuPay Credit Card 
ICICI Bank Rubyx Credit Card
ICICI Bank Platinum Chip Credit Card 
ICICI Bank Times Black Credit Card",
IDBI Bank Credit Cards,Unlock Unbeatable Discounts on Travel Bookings with IDBI Bank Credit Cards,https://www.easemytrip.com/offers/idbi-bank.html,https://images.emtcontent.com/offer-img/IDBI-18jun-25-sm.webp,"IDBI Aspire Platinum
IDBI Royale Signature Credit Card
IDBI Imperium Platinum
IDBI Aspire Platinum",
ICICI Bank Credit Cards,Avail Exclusive Travel Discounts with ICICI Bank Credit Cards,https://www.easemytrip.com/offers/icici-bank-credit-card.html,https://images.emtcontent.com/offer-img/ICICIEMT-02-sep-sm.webp,"MakeMyTrip ICICI Bank Credit Card
ICICI Bank HPCL Super Saver Credit Card
ICICI Bank HPCL Super Saver RuPay Credit Card
ICICI Bank Sapphiro Credit Card
ICICI Parakram Select Credit Card
Emirates Skywards ICICI Bank Emerald Credit Card
Accelero ICICI Bank Credit Card
ICICI HPCL Coral Credit Card
MakeMyTrip ICICI Bank Platinum Credit Card
Makemytrip ICICI Bank Signature Credit Card
ICICI Bank Manchester United Platinum Credit Card
ICICI Parakram Credit Card
ICICI Bank Expressions Credit Card
Emirates Skywards Rubyx Credit Card
Adani One ICICI Platinum Credit Card 
Adani One ICICI Signature Credit Card 
ICICI Bank Emeralde Credit Card
ICICI Bank Instant Platinum Credit Card
ICICI Bank Manchester United Signature Credit Card
ICICI Bank Credit Card
ICICI Bank Coral RuPay Credit Card 
Chennai Super Kings ICICI Bank Credit Card
ICICI Bank Coral Credit Card
ICICI Bank Rubyx RuPay Credit Card 
ICICI Bank Rubyx Credit Card
ICICI Bank Platinum Chip Credit Card 
ICICI Bank Times Black Credit Card",
Amazon Pay ICICI Bank Credit Card,Enjoy Exclusive Travel Discounts with Amazon Pay ICICI Bank Credit Card,https://www.easemytrip.com/offers/icici-bank.html,https://images.emtcontent.com/offer-img/ICICIAMZ-09-may-25-sm.webp,Amazon Pay ICICI Bank Credit Card,
IDFC FIRST Bank Credit Cards No Cost EMI,Enjoy Special Discounts on Bookings with IDFC FIRST Bank Credit Cards No Cost EMI,https://www.easemytrip.com/offers/idfc-bank-emi.html,https://images.emtcontent.com/offer-img/IDFC-First-Bank-01-sep-25-sm.webp,"IDFC First Power+ Credit Card
IDFC First Power Credit Card 
IDFC First SWYP Credit Card
IDFC Bank First Millennia Credit Card 
IDFC First Classic Credit Card 
IDFC First Select Credit Card
IDFC First Wealth Credit Card
IDFC First Wow Credit Card
IDFC First Earn RuPay Credit Card
IDFC Mayura Credit Card
IDFC First Ashva Credit Card
IDFC First Private Credit Card",
RBL Bank Credit Cards EMI,Enjoy Special Discounts on Travel Bookings with RBL Bank Credit Cards EMI,https://www.easemytrip.com/offers/rbl-bank-card.html,https://images.emtcontent.com/offer-img/RBLEMI-01-sep-sm.webp,"RBL Bank VCard
RBL Bank Cookie Credit Card
RBL Bank Shoprite Credit Card
RBL Platinum Maxima Plus Card
RBL Bank MoneyTap Black Card
RBL Bank Platinum Maxima Credit Card
RBL Bank Movies and More Credit Card
RBL Bank Paisabazaar Duet Plus Card
RBL Bank Bankbazaar Savemax Pro Credit Card
RBL Bank Bankbazaar Savemax Credit Card
RBL Bank iGlobe Credit Card 
RBL Bank Insignia Preferred Banking Card
RBL Bank Play Credit Card
RBL Bank World Safari Credit Card
RBL Bank Platinum Delight Credit Card
RBL Bank Monthly Treats Credit Card  
RBL Bank Lazy Pay Credit Card 
RBL Bank Icon Credit Card
RBL Bank Paisabazaar Duet Card
RBL Bank MoneyTap Credit Card
RBL Bank Mocash Credit Card
RBL Bank Platinum Classic Credit Card
RBL Bank Platinum Advantage Credit Card   
RBL Bank Platinum Plus Visa Credit Card 
RBL Bank Platinum ValuePlus MasterCard Credit Card  
RBL Bank Novio RuPay Credit Card
RBL Bank Platinum ValuePlus Credit Card 
RBL Bank Patanjali Vishisht RuPay Card 
RBL Bank Platinum Shopgain Visa Credit Card  
RBL Bank Platinum Bonus Credit Card  
RBL Bank Platinum ShopSmart MasterCard Credit Card  
RBL Bank Binge Credit Card     
TVS Credit RBL Bank Gold Mastercard Card 
IndianOil RBL Bank Credit Card
RBL Bank MyFirst Credit Card  
RBL Bank Platinum ShopDaily Credit Card 
RBL Bank Platinum Shopgain  Credit Card
RBL Bank Platinum Edge MasterCard 
RBL Bank MyFirst Mastercard Credit Card   
RBL Bank Platinum Choice Visa Credit Card   
RBL Bank EasySaver Visa Credit Card 
RBL Bank Play Credit Card
IRCTC RBL Bank Credit Card
TVS Credit RBL Bank Card 
RBL Bank SalarySe Up RuPay Credit Card
RBL Bank EasySaver Credit Card  
RBL Bank Binge MasterCard Credit Card    
RBL Bank World Prime Visa Credit Card 
RBL Bank Platinum Plus Credit Card  
RBL Bank World Max Credit Card  
IndianOil RBL Bank XTRA RuPay Credit Card
IndianOil RBL Bank RuPay Credit Card
RBL Bank World Prime Credit Card 
RBL Bank Platinum ShopDaily Visa Credit Card
RBL Bank Patanjali Swarn RuPay Card
RBL Bank Platinum Prime Credit Card 
RBL Bank World Max MasterCard Credit Card
RBL Bank Platinum Choice Credit Card
RBL Bank Platinum Shopsmart Credit Card 
RBL Bank World Plus MasterCard Credit Card 
RBL Bank World Plus Credit Card  
Indianoil RBL Bank Xtra Credit Card
RBL Bank DMI Finance Credit Card
RBL Bank Platinum TravelEasy Visa Credit Card 
RBL Bank Platinum LifeEasy Visa Credit Card
RBL Bank Platinum TravelEasy Credit Card 
RBL Bank Platinum Edge Credit Card
RBL Bank Platinum LifeEasy Credit Card",
HSBC Bank TravelOne Credit Card,Enjoy Amazing Discounts on Travel Bookings with HSBC Bank TravelOne Credit Card only,https://www.easemytrip.com/offers/hsbc-bank-card.html,https://images.emtcontent.com/offer-img/EMTHSBCT1-01-sep-25-sm.webp,HSBC TravelOne Credit Card,
