Offer Title,Description,Link,Image,Eligible Credit Cards,Eligible Debit Cards
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,Axis Bank Ace Credit Card,
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,Airtel Axis Bank RuPay Credit Card,
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,Airtel Axis Bank Credit Card,
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,Flipkart Axis Bank Credit Card,
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,Axis Bank Neo Credit Card,
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,Axis Bank Atlas Credit Card,
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,Flipkart Axis Bank Superelite Credit Card,
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,Axis Bank Rewards Credit Card,
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,IndianOil Axis Bank Credit Card,
Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,Flat 8% Off with Axis Bank Credit Cards & Credit Card EMI,https://www.ixigo.com/offers/axis-sale-international-flight,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F3cc9b0930af18fe6415a4ef90315e449-xfsbl.webp&w=3840&q=75,Fibe Axis Bank Credit Card,
