Offer Title,,Image,,,Link,Eligible Cards,
UNLOCK BIG SAVINGS ON YOUR NEXT TRIP,,https://promos.makemytrip.com/appfest/2x/au-bank-bg-04072023.jpg,,,https://www.makemytrip.com/promos/au-offer-020124.html?detail_image=no,AU Bank Zenith+,
UNLOCK BIG SAVINGS ON YOUR NEXT TRIP,,https://promos.makemytrip.com/appfest/2x/au-bank-bg-04072023.jpg,,,https://www.makemytrip.com/promos/au-offer-020124.html?detail_image=no,AU Small Finance Bank Altura,
UNLOCK BIG SAVINGS ON YOUR NEXT TRIP,,https://promos.makemytrip.com/appfest/2x/au-bank-bg-04072023.jpg,,,https://www.makemytrip.com/promos/au-offer-020124.html?detail_image=no,AU Small Finance Bank Zenith,
UNLOCK BIG SAVINGS ON YOUR NEXT TRIP,,https://promos.makemytrip.com/appfest/2x/au-bank-bg-04072023.jpg,,,https://www.makemytrip.com/promos/au-offer-020124.html?detail_image=no,AU Small Finance Bank LIT,
UNLOCK BIG SAVINGS ON YOUR NEXT TRIP,,https://promos.makemytrip.com/appfest/2x/au-bank-bg-04072023.jpg,,,https://www.makemytrip.com/promos/au-offer-020124.html?detail_image=no,AU Small Finance Bank ixigo,
UNLOCK BIG SAVINGS ON YOUR NEXT TRIP,,https://promos.makemytrip.com/appfest/2x/au-bank-bg-04072023.jpg,,,https://www.makemytrip.com/promos/au-offer-020124.html?detail_image=no,Au Small Finance Bank Vetta,
UNLOCK BIG SAVINGS ON YOUR NEXT TRIP,,https://promos.makemytrip.com/appfest/2x/au-bank-bg-04072023.jpg,,,https://www.makemytrip.com/promos/au-offer-020124.html?detail_image=no,AU Bank InstaPay,
UNLOCK BIG SAVINGS ON YOUR NEXT TRIP,,https://promos.makemytrip.com/appfest/2x/au-bank-bg-04072023.jpg,,,https://www.makemytrip.com/promos/au-offer-020124.html?detail_image=no,AU Small Finance Bank Altura Plus,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Prosperity Cashback,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Prosperity Cashback Plus,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,YES Bank Marquee,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes RESERV,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Bank Wellness Plus,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Bank Card Anq Phi Credit  Card,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Private Prime,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Prosperity Edge,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Bank Wellness,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes ELITE +,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Bank BYOC,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Prosperity Reward Plus,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes EMI,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Prosperity Reward,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,Yes Bank Finbooster,
Avail Interest-free EMI* + Up to 35% OFF*,,https://promos.makemytrip.com/appfest/2x/yes-bg-14072023.jpg,,,https://www.makemytrip.com/promos/yes-nce-offers-01072022.html?detail_image=no,YES BANK Anq Pi,
