Offer Title,,,Image,Link,Eligible Cards
"Up to Rs. 4,500 ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,https://www.yatra.com/offer/details/au-dibit-card-offer,All AU Debit Cards
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Pixel Play
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Paytm HDFC Bank Select Business
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Millennia
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,IRCTC HDFC Bank
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Tata Neu Infinity HDFC Bank RuPay
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Tata Neu Infinity HDFC Bank Visa
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Tata Neu Plus HDFC Bank Visa
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,InterMiles HDFC Bank Diners Club
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Shoppers Stop BLACK HDFC Bank
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Tata Neu Plus HDFC Bank RuPay
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Swiggy
