Offer,Coupon Code,Expiry Date,Image,Link,Credit Card
"Flat 12% OFF (up to Rs. 1,800) ",AMEXEMI,26-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/2468c9b2861d20131c993a73e4c8bc35.jpg,https://www.yatra.com/offer/details/american-express-card-emi-offers,American Express Platinum Reserve
"Flat 12% OFF (up to Rs. 1,800) ",AMEXEMI,26-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/2468c9b2861d20131c993a73e4c8bc35.jpg,https://www.yatra.com/offer/details/american-express-card-emi-offers,American Express Platinum Charge Card
"Flat 12% OFF (up to Rs. 1,800) ",AMEXEMI,26-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/2468c9b2861d20131c993a73e4c8bc35.jpg,https://www.yatra.com/offer/details/american-express-card-emi-offers,American Express Platinum Travel
"Flat 12% OFF (up to Rs. 1,800) ",AMEXEMI,26-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/2468c9b2861d20131c993a73e4c8bc35.jpg,https://www.yatra.com/offer/details/american-express-card-emi-offers,American Express Gold Charge Card
"Flat 12% OFF (up to Rs. 1,800) ",AMEXEMI,26-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/2468c9b2861d20131c993a73e4c8bc35.jpg,https://www.yatra.com/offer/details/american-express-card-emi-offers,American Express Membership Rewards
"Flat 12% OFF (up to Rs. 1,800) ",AMEXEMI,26-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/2468c9b2861d20131c993a73e4c8bc35.jpg,https://www.yatra.com/offer/details/american-express-card-emi-offers,American Express SmartEarn
"Up to Rs. 1,800 OFF* ",YATRARBL,31-Aug-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/May/54d4e9d717b63507acda1037ebb06469.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Platinum Choice MasterCard
"Up to Rs. 1,800 OFF* ",YATRARBL,31-Aug-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/May/54d4e9d717b63507acda1037ebb06469.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Platinum Choice Visa
"Up to Rs. 1,800 OFF* ",YATRARBL,31-Aug-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/May/54d4e9d717b63507acda1037ebb06469.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank World Plus Visa
"Up to Rs. 1,800 OFF* ",YATRARBL,31-Aug-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/May/54d4e9d717b63507acda1037ebb06469.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank World Plus MasterCard
"Up to Rs. 1,800 OFF* ",YATRARBL,31-Aug-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/May/54d4e9d717b63507acda1037ebb06469.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Platinum Advantage MasterCard
"Up to Rs. 1,800 OFF* ",YATRARBL,31-Aug-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/May/54d4e9d717b63507acda1037ebb06469.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank EasySaver MasterCard
"Up to Rs. 1,800 OFF* ",YATRARBL,31-Aug-25,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/May/54d4e9d717b63507acda1037ebb06469.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank EasySaver Visa
