Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Flat 10% off + 5% cashback,with Flipkart SBI Credit Cards,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,https://www.cleartrip.com/all-offers/sbicbc-ct-special-offer/,Flipkart SBI Credit Card,,,,
Enjoy up to Rs. 5000 off on Domestic & International Flights,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/ctcouple-offer/,Flipkart Axis Bank Credit Card,,,,
Cleartrip Offer,on Domestic Flights!,,"
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg",https://www.cleartrip.com/all-offers/festive-special-offer/,Flipkart Axis Bank Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,PhonePe HDFC Bank Ultimo Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Bank MoneyBack Plus RuPay Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Bank Biz Power Visa Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Bank Biz Power Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Bank Biz Grow Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Pixel Go Rupay Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,Tata Neu Infinity HDFC Bank RuPay Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,IndianOil HDFC Bank RuPay Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Regalia Gold Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC H.O.G. Diners Club Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Bank Business Regalia First Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,CSC Small Business MoneyBack Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Millennia Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Moneyback Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC All Miles Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Bank World Mastercard Credit Card,,,,
Upto INR 7500 off,,HDFCEMI,,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Diners Club Black Credit Card,,,,
