Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Mastercard Gold Secured Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Mastercard Standard Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank VISA Classic Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank VISA Gold Secured Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Mastercard Gold Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Rupay Platinum Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Visa Corporate Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Mastercard Platinum Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Rupay Platinum Secured Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Rupay Select Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Visa Platinum Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Mastercard World Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canrara Bank Visa Gold Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Rupay Classic Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 15% OFF* Instant Discount* on Flights and Hotels!,"Hotels, Flights",https://gos3.ibcdn.com/canara-offer-1713265884.jpg,https://www.goibibo.com/offers/canara-bank-emi/,Canara Bank Rupay Select Secured Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Get Up To 15% Instant Discount!,"Hotels, Flights",https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes ELITE + Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Get Up To 15% Instant Discount!,"Hotels, Flights",https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Prosperity Reward Plus Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Get Up To 15% Instant Discount!,"Hotels, Flights",https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Bank Card Anq Phi Credit  Card,nan,,,,,,,,,,,,,,,,,,,,
Get Up To 15% Instant Discount!,"Hotels, Flights",https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,YES Bank Paisabazaar Paisasave Credit Card,nan,,,,,,,,,,,,,,,,,,,,
