Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
"Flat 15% Off on Domestic Flights with American Express Cards and EMI
","For International Flights: Flat 15% Instant Discount up to Rs.7,500 on minimum order value of Rs.15,000.",,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F0b8438c28e2098a0d4acc6e681635a3f-ltatv.webp&w=828&q=75,https://www.ixigo.com/offers/amex-both,American Express Platinum Reserve Credit Card,,,,
"Flat 15% Off on Domestic Flights with American Express Cards and EMI
","For International Flights: Flat 15% Instant Discount up to Rs.7,500 on minimum order value of Rs.15,000.",,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F0b8438c28e2098a0d4acc6e681635a3f-ltatv.webp&w=828&q=75,https://www.ixigo.com/offers/amex-both,American Express Platinum Charge Card,,,,
"Flat 15% Off on Domestic Flights with American Express Cards and EMI
","For International Flights: Flat 15% Instant Discount up to Rs.7,500 on minimum order value of Rs.15,000.",,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F0b8438c28e2098a0d4acc6e681635a3f-ltatv.webp&w=828&q=75,https://www.ixigo.com/offers/amex-both,American Express Platinum Travel Credit Card,,,,
"Flat 15% Off on Domestic Flights with American Express Cards and EMI
","For International Flights: Flat 15% Instant Discount up to Rs.7,500 on minimum order value of Rs.15,000.",,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F0b8438c28e2098a0d4acc6e681635a3f-ltatv.webp&w=828&q=75,https://www.ixigo.com/offers/amex-both,American Express Gold Charge Card,,,,
"Flat 15% Off on Domestic Flights with American Express Cards and EMI
","For International Flights: Flat 15% Instant Discount up to Rs.7,500 on minimum order value of Rs.15,000.",,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F0b8438c28e2098a0d4acc6e681635a3f-ltatv.webp&w=828&q=75,https://www.ixigo.com/offers/amex-both,American Express Membership Rewards Credit Card,,,,
"Flat 15% Off on Domestic Flights with American Express Cards and EMI
","For International Flights: Flat 15% Instant Discount up to Rs.7,500 on minimum order value of Rs.15,000.",,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2F0b8438c28e2098a0d4acc6e681635a3f-ltatv.webp&w=828&q=75,https://www.ixigo.com/offers/amex-both,American Express Smartearn Credit Card,,,,
"Flat 15% Off on International Flights with American Express Cards and EMI
",,,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fd6cb146dbad47fa5c2df398125131c07-lsmbu.webp&w=828&q=75,https://www.ixigo.com/offers/amex-intl,American Express Platinum Reserve Credit Card,,,,
"Flat 15% Off on International Flights with American Express Cards and EMI
",,,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fd6cb146dbad47fa5c2df398125131c07-lsmbu.webp&w=828&q=75,https://www.ixigo.com/offers/amex-intl,American Express Platinum Charge Card,,,,
"Flat 15% Off on International Flights with American Express Cards and EMI
",,,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fd6cb146dbad47fa5c2df398125131c07-lsmbu.webp&w=828&q=75,https://www.ixigo.com/offers/amex-intl,American Express Platinum Travel Credit Card,,,,
"Flat 15% Off on International Flights with American Express Cards and EMI
",,,https://www.ixigo.com/offers/_next/image?url=https%3A%2F%2Fimages.ixigo.com%2Fimage%2Fupload%2Foffers_and_deals%2Fd6cb146dbad47fa5c2df398125131c07-lsmbu.webp&w=828&q=75,https://www.ixigo.com/offers/amex-intl,American Express Gold Charge Card,,,,
