Offer Title,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Indianoil Kotak Credit Card,,,,
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Kotak 811 Credit Card,,,,
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Kotak 811 Dream Different Credit Card,,,,
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Kotak IndiGo 6E Rewards Credit Card,,,,
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Kotak IndiGo 6E Rewards XL Credit Card,,,,
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Kotak League Platinum Credit Card,,,,
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Kotak Mojo Platinum Credit Card,,,,
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Kotak Urbane Gold Credit Card,,,,
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Kotak White Credit Card,,,,
Travel All Around the World with Up to 25% OFF*,on Flights and Hotels.,,https://promos.makemytrip.com/appfest/2x/kotak-bg-07022025.jpg,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,Kotak Zen Signature Credit Card,,,,
