Serial Number,Credit Card Name,Credit Card Image,Flight Benefit
1,Makemytrip ICICI Bank Signature Credit Card,https://static.wixstatic.com/media/f836e8_5f095d9b5541483d965397444e0c81e8~mv2.webp,Flight Booking Cashback Rate: 0.75%.�
2,Axis Bank Miles And More World Credit Card,https://static.wixstatic.com/media/f836e8_5ae3062000cd4c4f9dba812c2e18f3d9~mv2.webp,Credit card miles accumulated on your card can't be converted into cash directly but can be used to book flights with partner airline companies.
3,Axis Bank Horizon Credit Card,https://static.wixstatic.com/media/200895_cac8fb802deb45f19ace0fcfd0b104d0~mv2.webp,Cardholder shall earn 5 edge miles on every INR 100 spent on Axis Bank travel edge website and on airline spends and 2 edge miles for every INR 100 spent on other spends. These miles accumulated on your card can be used for flight booking.
4,HDFC Bank Infinia Credit Card Metal Edition,https://static.wixstatic.com/media/2a565f_c8c3857cd8014bdf98db1592e91e26d9~mv2.webp,"Reward points accumulated on your card can be redeemed for: flight and hotel bookings via smartbuy. Value of 1 reward point = INR 1 for the purposes of flight and hotel booking.
"
5,Easy EMI Card,https://static.wixstatic.com/media/2a565f_f1ea75217d1141b08f4211da5c6cfc9e~mv2.webp,"Customers can get upto 5% cashback on Amazon, Flipkart, flight, and hotel bookings on shopping via Payzapp and Smartbuy (Minimum transaction size of INR 2,000)
  "
6,Axis Bank Vistara Infinite Credit Card,https://static.wixstatic.com/media/f836e8_b3af0caf0f494805b49693727f392d83~mv2.webp,Reward points accumulated on your card can be used for buying air ticket with partner airlines. 
7,Indusind InterMiles Odyssey Amex Credit Card,https://static.wixstatic.com/media/257766_fd3be31e4c6a43219ee30bc0db61069f~mv2.png,Reward points accumulated on your card can be used for buying air ticket with partner airlines. 
8,HDFC Pixel Play Credit Card,https://static.wixstatic.com/media/f836e8_b2ce0712ecac4bfdbf175406074af437~mv2.jpg,User can get 5% cashback on Makemytrip on flight booking if the user has chosen the Makemytrip pack as the cashback pack.
9,Yes Prosperity Edge Credit Card,https://static.wixstatic.com/media/f836e8_d7eacc8b25dc427ba248abf32bdd182f~mv2.webp,1% travel cashback rate. Accumulated reward points can be used to book flight tickets with partner airlines.
10,Emirates Skywards ICICI Bank Emerald Credit Card,https://static.wixstatic.com/media/f836e8_eef333c5ecb24f3a95f8a4e927325443~mv2.webp,Airmiles accumulated on your card can be used for buying air ticket with partner airlines. 
