Offer Title,Image,Description,,Link,Eligible Credit Cards,Eligible Debit Cards
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,Bobcard Cashback Credit Card,
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,Bank of Baroda Premier Credit Card,
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,BOB Assure Credit Card,
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,Eterna Bobcard,
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,Indian Navy Varunah Premium Bobcard,
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,CMA One Bobcard,
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,Bank of Baroda ETERNA Credit card,
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,ICSI Diamond Bobcard,
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,Bank of Baroda EASY Credit Card,
Flat 10% OFF (up to Rs. 7000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,YRBOBCCEMI,,https://www.yatra.com/offer/details/BOBCARD-emi-offers,ICAI Exclusive Bobcard,
